,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
83,SE,Sudeste/Centro-Oeste,2017-01-21T00:00:00.000,35928.299375
84,N,Norte,2017-01-22T00:00:00.000,4669.779375
85,NE,Nordeste,2017-01-22T00:00:00.000,9593.845875
86,S,Sul,2017-01-22T00:00:00.000,9983.5335
87,SE,Sudeste/Centro-Oeste,2017-01-22T00:00:00.000,32168.66204167
88,N,Norte,2017-01-23T00:00:00.000,5117.210875
89,NE,Nordeste,2017-01-23T00:00:00.000,10709.25545833
90,S,Sul,2017-01-23T00:00:00.000,12954.14445833
91,SE,Sudeste/Centro-Oeste,2017-01-23T00:00:00.000,38607.21245833
92,N,Norte,2017-01-24T00:00:00.000,5201.77741667
93,NE,Nordeste,2017-01-24T00:00:00.000,10824.018625
94,S,Sul,2017-01-24T00:00:00.000,13520.991375
95,SE,Sudeste/Centro-Oeste,2017-01-24T00:00:00.000,40501.99283333
96,N,Norte,2017-01-25T00:00:00.000,5237.68233333
97,NE,Nordeste,2017-01-25T00:00:00.000,10980.79266667
98,S,Sul,2017-01-25T00:00:00.000,13181.33879167
99,SE,Sudeste/Centro-Oeste,2017-01-25T00:00:00.000,40291.51575
100,N,Norte,2017-01-26T00:00:00.000,5415.29608333
101,NE,Nordeste,2017-01-26T00:00:00.000,10942.70929167
102,S,Sul,2017-01-26T00:00:00.000,12600.65645833
103,SE,Sudeste/Centro-Oeste,2017-01-26T00:00:00.000,41052.21316667
104,N,Norte,2017-01-27T00:00:00.000,5348.77191667
105,NE,Nordeste,2017-01-27T00:00:00.000,10980.0525
106,S,Sul,2017-01-27T00:00:00.000,12203.22079167
107,SE,Sudeste/Centro-Oeste,2017-01-27T00:00:00.000,40698.46879167
108,N,Norte,2017-01-28T00:00:00.000,4971.270625
109,NE,Nordeste,2017-01-28T00:00:00.000,10206.349625
110,S,Sul,2017-01-28T00:00:00.000,10722.50900417
111,SE,Sudeste/Centro-Oeste,2017-01-28T00:00:00.000,37474.029
112,N,Norte,2017-01-29T00:00:00.000,4786.76320833
113,NE,Nordeste,2017-01-29T00:00:00.000,9445.18704167
114,S,Sul,2017-01-29T00:00:00.000,9690.954375
115,SE,Sudeste/Centro-Oeste,2017-01-29T00:00:00.000,34309.841875
116,N,Norte,2017-01-30T00:00:00.000,5329.426625
117,NE,Nordeste,2017-01-30T00:00:00.000,10786.14683333
118,S,Sul,2017-01-30T00:00:00.000,12747.27458333
119,SE,Sudeste/Centro-Oeste,2017-01-30T00:00:00.000,41023.5765
120,N,Norte,2017-01-31T00:00:00.000,5297.55354167
121,NE,Nordeste,2017-01-31T00:00:00.000,10957.9065
122,S,Sul,2017-01-31T00:00:00.000,12826.55708333
123,SE,Sudeste/Centro-Oeste,2017-01-31T00:00:00.000,41317.78841667
124,N,Norte,2017-02-01T00:00:00.000,5191.727875
125,NE,Nordeste,2017-02-01T00:00:00.000,11156.538625
126,S,Sul,2017-02-01T00:00:00.000,12669.290875
127,SE,Sudeste/Centro-Oeste,2017-02-01T00:00:00.000,41086.38204167
128,N,Norte,2017-02-02T00:00:00.000,5293.59775
129,NE,Nordeste,2017-02-02T00:00:00.000,11123.91120833
130,S,Sul,2017-02-02T00:00:00.000,12712.47241667
131,SE,Sudeste/Centro-Oeste,2017-02-02T00:00:00.000,41117.14120833
132,N,Norte,2017-02-03T00:00:00.000,5280.344125
133,NE,Nordeste,2017-02-03T00:00:00.000,11080.39858333
134,S,Sul,2017-02-03T00:00:00.000,13066.19008333
135,SE,Sudeste/Centro-Oeste,2017-02-03T00:00:00.000,40726.95320833
136,N,Norte,2017-02-04T00:00:00.000,5185.77333333
137,NE,Nordeste,2017-02-04T00:00:00.000,10439.33625
138,S,Sul,2017-02-04T00:00:00.000,11729.63925
139,SE,Sudeste/Centro-Oeste,2017-02-04T00:00:00.000,37417.41625
140,N,Norte,2017-02-05T00:00:00.000,4958.97754167
141,NE,Nordeste,2017-02-05T00:00:00.000,9654.99520833
142,S,Sul,2017-02-05T00:00:00.000,10317.92108333
143,SE,Sudeste/Centro-Oeste,2017-02-05T00:00:00.000,34164.43395833
144,N,Norte,2017-02-06T00:00:00.000,5441.40629167
145,NE,Nordeste,2017-02-06T00:00:00.000,11010.43510758
146,S,Sul,2017-02-06T00:00:00.000,12900.66758333
147,SE,Sudeste/Centro-Oeste,2017-02-06T00:00:00.000,40758.357625
148,N,Norte,2017-02-07T00:00:00.000,5473.48345833
149,NE,Nordeste,2017-02-07T00:00:00.000,11249.063375
150,S,Sul,2017-02-07T00:00:00.000,12974.2025
151,SE,Sudeste/Centro-Oeste,2017-02-07T00:00:00.000,41370.504875
152,N,Norte,2017-02-08T00:00:00.000,5410.86258333
153,NE,Nordeste,2017-02-08T00:00:00.000,11263.79179167
154,S,Sul,2017-02-08T00:00:00.000,13045.019
155,SE,Sudeste/Centro-Oeste,2017-02-08T00:00:00.000,41323.924875
156,N,Norte,2017-02-09T00:00:00.000,5319.931375
157,NE,Nordeste,2017-02-09T00:00:00.000,11209.60375
158,S,Sul,2017-02-09T00:00:00.000,13227.641
159,SE,Sudeste/Centro-Oeste,2017-02-09T00:00:00.000,40743.174875
160,N,Norte,2017-02-10T00:00:00.000,5325.70279167
161,NE,Nordeste,2017-02-10T00:00:00.000,10975.22658333
162,S,Sul,2017-02-10T00:00:00.000,13227.52420833
163,SE,Sudeste/Centro-Oeste,2017-02-10T00:00:00.000,40954.95845833
164,N,Norte,2017-02-11T00:00:00.000,5112.44954167
165,NE,Nordeste,2017-02-11T00:00:00.000,10205.75025
166,S,Sul,2017-02-11T00:00:00.000,11240.42354167
167,SE,Sudeste/Centro-Oeste,2017-02-11T00:00:00.000,37884.99016667
168,N,Norte,2017-02-12T00:00:00.000,4853.26775
169,NE,Nordeste,2017-02-12T00:00:00.000,9225.69829167
170,S,Sul,2017-02-12T00:00:00.000,9604.95308333
171,SE,Sudeste/Centro-Oeste,2017-02-12T00:00:00.000,34464.6665
172,N,Norte,2017-02-13T00:00:00.000,5202.85229167
173,NE,Nordeste,2017-02-13T00:00:00.000,10396.033375
174,S,Sul,2017-02-13T00:00:00.000,12513.91341667
175,SE,Sudeste/Centro-Oeste,2017-02-13T00:00:00.000,41531.89625
176,N,Norte,2017-02-14T00:00:00.000,5159.49283333
177,NE,Nordeste,2017-02-14T00:00:00.000,10602.63345833
178,S,Sul,2017-02-14T00:00:00.000,12799.65695833
179,SE,Sudeste/Centro-Oeste,2017-02-14T00:00:00.000,42425.27125
180,N,Norte,2017-02-15T00:00:00.000,5080.71604167
181,NE,Nordeste,2017-02-15T00:00:00.000,10673.43775
182,S,Sul,2017-02-15T00:00:00.000,13450.94333333
183,SE,Sudeste/Centro-Oeste,2017-02-15T00:00:00.000,42886.268875
184,N,Norte,2017-02-16T00:00:00.000,5103.43854167
185,NE,Nordeste,2017-02-16T00:00:00.000,10877.69845833
186,S,Sul,2017-02-16T00:00:00.000,13881.037
187,SE,Sudeste/Centro-Oeste,2017-02-16T00:00:00.000,43157.22241667
188,N,Norte,2017-02-17T00:00:00.000,5186.5215
